label,q1,q2
0,Q727019,Q378000
1,Q101916,Q432690
0,Q240577,Q268136
0,Q665991,Q611338
1,Q235708,Q527568
0,Q567468,Q514563
1,Q222349,Q301483
1,Q212744,Q706109
0,Q400035,Q215916
1,Q202760,Q334056
0,Q442555,Q516344
1,Q506384,Q522833
1,Q388640,Q626956
1,Q210092,Q295006
1,Q428969,Q241672
0,Q416016,Q342798
0,Q329447,Q246443
0,Q321075,Q571975
1,Q440936,Q070811
0,Q107842,Q348928
1,Q538106,Q668272
0,Q335712,Q561533
0,Q675871,Q393221
0,Q179565,Q708108
0,Q189352,Q327379
1,Q325367,Q145935
0,Q447352,Q693438
1,Q059947,Q586029
1,Q470955,Q611670
0,Q180148,Q204495
1,Q616843,Q173464
0,Q081195,Q308890
0,Q067160,Q382147
0,Q445215,Q596365
1,Q583612,Q293828
0,Q413461,Q180268
1,Q614001,Q528039
0,Q675591,Q651699
1,Q107032,Q296955
0,Q226796,Q593705
1,Q455025,Q668664
1,Q123011,Q398997
1,Q527280,Q098482
1,Q186445,Q292524
0,Q612831,Q376174
1,Q117234,Q337208
1,Q485587,Q237647
1,Q653925,Q341068
0,Q081797,Q519719
0,Q168603,Q180268
1,Q577401,Q313646
0,Q255224,Q153206
1,Q154538,Q359393
1,Q152297,Q124661
1,Q054959,Q030845
0,Q412054,Q532938
1,Q574290,Q398323
1,Q181113,Q677944
0,Q687796,Q681434
1,Q593653,Q101137
0,Q598164,Q655557
1,Q592066,Q595557
1,Q637352,Q604007
1,Q066292,Q016414
0,Q615816,Q176764
1,Q228130,Q080885
0,Q173432,Q066856
0,Q618753,Q103705
0,Q485366,Q318571
0,Q698577,Q099284
1,Q268719,Q019110
0,Q715144,Q666435
1,Q662729,Q308333
1,Q016507,Q670204
0,Q647857,Q181284
0,Q017210,Q194697
1,Q320487,Q636399
1,Q582368,Q185816
0,Q266991,Q229793
1,Q503216,Q434766
1,Q547009,Q210322
0,Q023948,Q493838
1,Q101312,Q560474
0,Q453680,Q364104
1,Q245873,Q377712
1,Q675634,Q482314
0,Q289633,Q319018
0,Q614722,Q045719
1,Q680448,Q386344
0,Q225236,Q179959
1,Q126326,Q319169
1,Q724189,Q360848
0,Q236651,Q211385
1,Q211193,Q470795
1,Q251061,Q578638
1,Q594457,Q393777
1,Q179548,Q003766
0,Q541779,Q076365
0,Q059348,Q450445
1,Q369796,Q037199
1,Q533911,Q142465
0,Q124148,Q015160
1,Q336990,Q297869
1,Q317831,Q641990
0,Q466584,Q054959
0,Q088681,Q231830
0,Q447450,Q028299
0,Q339236,Q327338
1,Q565112,Q434658
1,Q101902,Q482314
1,Q716916,Q014979
0,Q261800,Q003094
1,Q164130,Q411617
0,Q021126,Q248480
0,Q654244,Q432429
1,Q247561,Q662451
0,Q647173,Q585490
1,Q355966,Q552340
0,Q067261,Q545703
1,Q698166,Q653089
0,Q455465,Q719374
0,Q457803,Q397371
0,Q409112,Q003990
0,Q373396,Q145558
0,Q234670,Q245285
0,Q297649,Q299574
1,Q019803,Q629180
1,Q723683,Q227938
1,Q564402,Q426148
1,Q366225,Q461928
0,Q230401,Q568429
0,Q232714,Q285783
1,Q601019,Q359591
1,Q356087,Q299853
0,Q252282,Q271103
1,Q123511,Q592072
1,Q099222,Q124235
0,Q563145,Q642015
1,Q588020,Q011782
0,Q644894,Q437039
1,Q480178,Q478282
0,Q371519,Q110263
0,Q655199,Q434870
1,Q611099,Q713887
0,Q434922,Q610729
1,Q392079,Q429316
1,Q515619,Q578649
1,Q246706,Q272482
1,Q239678,Q571100
0,Q380625,Q041853
1,Q079276,Q175656
1,Q047665,Q688514
0,Q049467,Q011528
0,Q621351,Q099333
0,Q600280,Q047720
1,Q269537,Q617904
1,Q440043,Q347887
1,Q188240,Q480226
1,Q369309,Q232539
0,Q292249,Q038682
0,Q718602,Q297869
1,Q046654,Q297703
0,Q672138,Q453338
1,Q243192,Q704964
1,Q048136,Q096805
1,Q468931,Q591658
1,Q041293,Q435529
1,Q592622,Q132154
1,Q599017,Q002147
1,Q397345,Q458620
1,Q099677,Q574990
0,Q303498,Q321032
1,Q713718,Q065950
1,Q157228,Q395796
0,Q125141,Q332991
0,Q423697,Q146429
0,Q509249,Q671923
1,Q654696,Q079903
0,Q471454,Q505678
1,Q181271,Q115061
0,Q279325,Q372129
1,Q098480,Q474005
0,Q088170,Q066971
1,Q239066,Q506938
1,Q546407,Q013524
0,Q603500,Q238108
0,Q728382,Q301478
1,Q421623,Q727573
1,Q112129,Q526743
1,Q146142,Q544428
1,Q725012,Q432874
0,Q170919,Q338089
1,Q223977,Q236526
1,Q044161,Q037028
1,Q624597,Q355287
1,Q024552,Q652897
1,Q158721,Q268197
0,Q367216,Q579537
0,Q683983,Q002917
1,Q399469,Q481344
0,Q338302,Q387153
1,Q599003,Q132861
1,Q531374,Q483132
1,Q455430,Q103244
0,Q475590,Q480189
1,Q086120,Q714637
1,Q410288,Q007692
1,Q709344,Q188637
0,Q260626,Q152988
1,Q595231,Q103454
1,Q003177,Q380162
0,Q368098,Q165301
0,Q533671,Q102886
1,Q139791,Q073951
0,Q651667,Q378045
1,Q204888,Q183757
0,Q539850,Q321691
1,Q194791,Q243433
0,Q383133,Q012075
1,Q219506,Q562192
0,Q072101,Q550820
1,Q421580,Q141955
1,Q045195,Q561044
1,Q244129,Q176637
1,Q506039,Q401578
1,Q359824,Q137882
1,Q550629,Q593978
0,Q079794,Q527286
1,Q559367,Q330715
1,Q570467,Q164577
0,Q068709,Q436533
0,Q585889,Q435104
1,Q518853,Q450677
1,Q546859,Q451008
1,Q385197,Q662660
0,Q682920,Q338302
0,Q181610,Q372024
1,Q183010,Q709120
0,Q371721,Q061195
1,Q363723,Q485895
1,Q669193,Q039768
1,Q401545,Q271916
1,Q542671,Q093155
0,Q388851,Q232029
1,Q580322,Q375387
0,Q583710,Q186095
1,Q253559,Q694972
1,Q416373,Q606351
0,Q555938,Q185442
0,Q162109,Q607404
1,Q293508,Q721149
1,Q616475,Q197201
1,Q642351,Q726359
1,Q438920,Q600349
0,Q110423,Q621381
1,Q505896,Q089587
0,Q559228,Q129057
1,Q285656,Q047986
1,Q637746,Q472058
1,Q474052,Q046553
1,Q565830,Q703738
0,Q026455,Q551042
1,Q037752,Q007611
0,Q632675,Q018715
0,Q034491,Q353698
1,Q685984,Q168025
1,Q194214,Q722276
1,Q460990,Q431468
0,Q510025,Q325474
0,Q270684,Q094611
1,Q702910,Q293572
0,Q518962,Q312624
0,Q364331,Q153809
1,Q319722,Q163893
1,Q340886,Q012807
1,Q706790,Q538526
1,Q588691,Q214428
1,Q436909,Q558788
0,Q332597,Q623327
1,Q278547,Q494114
1,Q119471,Q533908
0,Q378569,Q328705
0,Q537875,Q340067
1,Q389413,Q473486
1,Q034980,Q080532
0,Q377165,Q382030
0,Q298803,Q040506
0,Q708512,Q399745
1,Q035545,Q079476
0,Q063854,Q058963
0,Q308821,Q046291
0,Q711724,Q145221
0,Q570295,Q481000
1,Q195950,Q310146
0,Q067311,Q339808
1,Q272909,Q705674
0,Q297816,Q384397
1,Q687325,Q188637
1,Q662604,Q595704
0,Q156691,Q107746
1,Q509312,Q084016
0,Q231918,Q421230
0,Q063748,Q029430
0,Q109611,Q521559
0,Q055022,Q357623
0,Q011824,Q092585
1,Q196590,Q200931
1,Q487308,Q531364
1,Q231769,Q340763
0,Q554964,Q179628
0,Q101453,Q057859
1,Q468798,Q351880
1,Q681375,Q366780
0,Q101916,Q085595
1,Q279913,Q255811
0,Q526703,Q393005
0,Q251324,Q369815
1,Q591303,Q525982
1,Q531549,Q346491
0,Q572469,Q495585
1,Q128001,Q611091
1,Q695001,Q076388
1,Q473094,Q618764
0,Q074718,Q516238
1,Q402863,Q105329
0,Q380720,Q187909
1,Q132986,Q204564
0,Q321651,Q623198
1,Q398998,Q241782
0,Q678982,Q085225
0,Q625920,Q098160
1,Q016483,Q540823
1,Q254955,Q176708
1,Q441923,Q654174
0,Q228418,Q424013
0,Q110539,Q238978
1,Q118036,Q102157
1,Q481081,Q046582
0,Q048683,Q525902
0,Q074345,Q155619
0,Q650205,Q185185
1,Q229265,Q098098
0,Q617915,Q589787
1,Q579254,Q212744
0,Q388737,Q247025
0,Q522741,Q416908
0,Q419298,Q028164
0,Q672406,Q298663
1,Q152818,Q392051
0,Q454151,Q611417
0,Q126958,Q719749
0,Q396321,Q316668
1,Q173185,Q705365
1,Q281205,Q239907
0,Q061846,Q337949
0,Q614465,Q310744
0,Q566045,Q400901
1,Q102006,Q616057
1,Q013149,Q254741
0,Q652964,Q696922
0,Q271270,Q253106
1,Q025830,Q392733
0,Q146385,Q493705
0,Q291197,Q461140
0,Q646562,Q411102
1,Q449861,Q372484
1,Q418864,Q513233
1,Q689143,Q166473
1,Q456401,Q687583
0,Q310393,Q493363
1,Q480127,Q119190
1,Q302571,Q560671
1,Q580846,Q573688
0,Q350749,Q618137
0,Q293789,Q457032
1,Q064415,Q135191
1,Q189420,Q601176
0,Q097323,Q177799
1,Q540487,Q150486
1,Q306833,Q211708
0,Q306926,Q571086
0,Q638383,Q484153
1,Q498724,Q145566
1,Q426319,Q468648
1,Q558278,Q246986
1,Q466965,Q162992
0,Q692482,Q487754
1,Q289129,Q527232
0,Q106980,Q325930
0,Q415280,Q308305
1,Q139360,Q239548
1,Q716802,Q532072
0,Q577337,Q038296
0,Q156995,Q563845
0,Q090600,Q637931
1,Q602871,Q165165
1,Q648044,Q291489
0,Q528831,Q073713
1,Q632805,Q714472
1,Q408976,Q251840
0,Q011032,Q412560
1,Q374750,Q577497
1,Q518745,Q472430
1,Q230567,Q053318
1,Q642097,Q699198
0,Q543420,Q544136
1,Q411617,Q582571
0,Q340317,Q038154
1,Q178305,Q551445
1,Q173104,Q721925
1,Q016161,Q515173
0,Q323387,Q350424
1,Q344037,Q293132
1,Q464961,Q051018
1,Q316617,Q133047
1,Q224732,Q674761
1,Q715033,Q147773
1,Q206864,Q111435
1,Q126221,Q526251
1,Q116071,Q129374
1,Q608399,Q320025
0,Q639016,Q725797
1,Q567191,Q404504
0,Q450723,Q350492
0,Q215849,Q699524
0,Q391859,Q041048
0,Q498453,Q152971
0,Q226025,Q542852
0,Q383871,Q701099
0,Q653067,Q106164
1,Q420104,Q168586
1,Q035852,Q507654
0,Q603687,Q457477
0,Q579140,Q318774
0,Q161716,Q072478
1,Q453105,Q378869
1,Q565861,Q671999
1,Q010098,Q168158
0,Q022573,Q158438
0,Q068576,Q208194
0,Q490501,Q161763
0,Q426965,Q066840
1,Q028308,Q634322
0,Q427213,Q375138
1,Q021976,Q631535
0,Q148157,Q208792
1,Q447075,Q304957
1,Q309195,Q680448
0,Q341303,Q204000
1,Q070902,Q087945
1,Q126038,Q583553
1,Q288740,Q358072
1,Q086279,Q401814
1,Q724628,Q388323
0,Q673314,Q332042
1,Q658138,Q398848
1,Q283102,Q293566
0,Q400053,Q274743
1,Q608819,Q345697
1,Q417949,Q430202
1,Q154161,Q425519
0,Q367443,Q059219
1,Q088661,Q275141
0,Q485274,Q236048
0,Q340317,Q543380
1,Q072750,Q704763
0,Q052174,Q199887
1,Q004355,Q710049
0,Q293546,Q169644
1,Q189985,Q042658
1,Q187571,Q541297
1,Q603238,Q016691
0,Q313154,Q714779
1,Q258463,Q662478
1,Q515013,Q114102
1,Q196757,Q018314
1,Q574534,Q395379
1,Q187933,Q027663
0,Q446731,Q473718
0,Q352818,Q373554
1,Q331641,Q441656
1,Q170582,Q317925
1,Q385448,Q389670
0,Q396961,Q409192
0,Q172121,Q201955
1,Q620188,Q387178
1,Q722619,Q604189
1,Q540860,Q511438
0,Q415450,Q722607
1,Q083845,Q015850
1,Q382558,Q615568
0,Q602859,Q136750
1,Q399134,Q536659
1,Q263999,Q092065
1,Q521795,Q290042
0,Q110539,Q539035
0,Q464597,Q230282
0,Q139329,Q204863
1,Q169270,Q686635
0,Q561931,Q238058
1,Q554642,Q167537
1,Q483464,Q405081
1,Q309935,Q019804
1,Q262315,Q686863
0,Q264789,Q025562
1,Q155148,Q227092
1,Q329247,Q366472
0,Q657314,Q122000
1,Q155168,Q047560
0,Q467373,Q058527
1,Q631014,Q389332
1,Q538409,Q258513
1,Q037562,Q187376
0,Q402863,Q286621
0,Q316155,Q679590
0,Q161716,Q264094
1,Q065469,Q322034
0,Q676243,Q411478
0,Q316015,Q457050
0,Q657600,Q450209
1,Q652965,Q292730
0,Q521799,Q346444
1,Q401545,Q170153
0,Q626778,Q307247
1,Q064861,Q272996
0,Q143540,Q145569
0,Q609221,Q040896
1,Q502408,Q195820
1,Q340537,Q011123
0,Q087959,Q224623
1,Q091942,Q431778
1,Q333069,Q097109
1,Q654075,Q417949
0,Q483579,Q229252
0,Q182016,Q119239
0,Q691357,Q701997
0,Q049560,Q261280
0,Q082655,Q525669
0,Q336874,Q310875
0,Q047470,Q371866
1,Q368073,Q363572
0,Q346537,Q378904
0,Q696922,Q615844
0,Q466495,Q015619
1,Q299961,Q074119
0,Q007844,Q299667
0,Q616295,Q293227
0,Q686726,Q562192
1,Q338260,Q710357
1,Q516692,Q117749
0,Q651449,Q304349
1,Q408017,Q515117
1,Q169928,Q099257
0,Q639704,Q585708
1,Q512646,Q254109
1,Q715688,Q620812
1,Q015885,Q063570
1,Q476302,Q593308
1,Q609818,Q094586
1,Q044146,Q339925
0,Q365174,Q596171
0,Q485418,Q234404
0,Q720025,Q703779
1,Q070961,Q385463
0,Q235045,Q179303
1,Q298338,Q544005
0,Q322683,Q435158
0,Q161844,Q080532
0,Q152033,Q322353
1,Q506916,Q718211
0,Q551121,Q091482
0,Q224267,Q182182
0,Q466314,Q282210
1,Q609441,Q522394
1,Q106357,Q040682
1,Q502603,Q690554
0,Q157283,Q368626
1,Q062034,Q370024
0,Q474631,Q281570
0,Q332105,Q032938
1,Q189660,Q674897
1,Q382331,Q391454
0,Q291307,Q328977
1,Q470922,Q161145
1,Q399621,Q076671
1,Q127187,Q499425
0,Q459163,Q364482
0,Q304784,Q592099
1,Q236697,Q600066
1,Q297869,Q301644
1,Q121441,Q146646
0,Q141478,Q069615
0,Q471234,Q182609
0,Q587911,Q299214
1,Q580198,Q307247
0,Q222037,Q073375
1,Q488037,Q292422
1,Q427282,Q153917
0,Q174405,Q297994
0,Q488916,Q100468
1,Q293516,Q439309
1,Q252177,Q418547
1,Q225276,Q532918
1,Q438073,Q359999
0,Q649705,Q050735
1,Q092631,Q321110
1,Q358680,Q063601
0,Q426878,Q393331
0,Q703197,Q268767
1,Q717527,Q020927
0,Q682484,Q344255
1,Q445752,Q443776
0,Q571380,Q408462
1,Q164006,Q140604
1,Q206596,Q070241
1,Q210700,Q656211
1,Q163904,Q126433
1,Q423864,Q005111
0,Q451423,Q424359
0,Q334544,Q649429
0,Q537817,Q085931
0,Q480995,Q114521
1,Q653061,Q727734
0,Q181543,Q607241
0,Q245758,Q644783
0,Q662650,Q030466
1,Q660889,Q508335
1,Q190480,Q338835
0,Q206008,Q268781
0,Q504911,Q631975
1,Q712593,Q041344
0,Q043139,Q237759
0,Q343580,Q054267
0,Q625863,Q689760
0,Q025897,Q129365
0,Q041801,Q317370
0,Q064948,Q023471
1,Q705150,Q070380
0,Q558560,Q027684
1,Q391969,Q563717
1,Q075159,Q296955
0,Q653829,Q203398
1,Q164492,Q140516
1,Q595401,Q361819
0,Q164178,Q257970
0,Q381496,Q275993
0,Q630922,Q023172
0,Q685555,Q413966
0,Q367212,Q043879
1,Q411448,Q152730
0,Q092892,Q049905
0,Q591293,Q380796
1,Q335113,Q027294
1,Q086318,Q490807
1,Q232018,Q115381
1,Q480876,Q319742
0,Q669005,Q421605
0,Q246769,Q316890
1,Q530764,Q322200
1,Q077279,Q674685
1,Q333270,Q000851
0,Q360595,Q299309
1,Q129374,Q674716
1,Q716157,Q289189
0,Q122870,Q627929
1,Q684962,Q382780
1,Q336938,Q722336
0,Q406157,Q410782
1,Q251570,Q475257
0,Q041048,Q379011
0,Q122442,Q560539
0,Q606359,Q353164
1,Q634245,Q580389
0,Q639967,Q342847
0,Q381882,Q459373
1,Q535253,Q711142
1,Q654244,Q348499
0,Q536195,Q556555
1,Q584608,Q633425
1,Q563651,Q417560
1,Q087620,Q380314
1,Q383882,Q470234
0,Q202514,Q678845
1,Q655133,Q020278
0,Q202304,Q548259
0,Q008394,Q648506
0,Q302566,Q069660
1,Q048561,Q444751
0,Q349420,Q480274
1,Q062779,Q604685
0,Q321716,Q622212
1,Q548028,Q034980
1,Q170925,Q632030
0,Q380086,Q667868
1,Q291767,Q366457
1,Q410825,Q238981
1,Q654197,Q130104
0,Q127659,Q700407
1,Q343625,Q245530
1,Q148308,Q536537
0,Q197015,Q387332
1,Q604968,Q241713
1,Q041494,Q567601
1,Q199545,Q194739
0,Q036689,Q276778
1,Q400975,Q619036
0,Q366415,Q235492
0,Q511553,Q359777
0,Q488779,Q145862
1,Q589360,Q108549
0,Q693202,Q148128
1,Q332936,Q524474
1,Q594678,Q354850
1,Q687273,Q383910
1,Q422782,Q519537
1,Q479310,Q156545
1,Q674545,Q004612
0,Q418399,Q381132
1,Q706956,Q427659
0,Q236228,Q083613
1,Q675249,Q381138
0,Q150858,Q368829
0,Q484480,Q681925
1,Q412492,Q135115
1,Q000631,Q319302
0,Q696477,Q409570
0,Q118960,Q366679
1,Q712328,Q382015
0,Q082004,Q371154
1,Q513849,Q142873
1,Q691609,Q173956
1,Q402916,Q438538
1,Q449816,Q417783
1,Q075893,Q142805
0,Q040435,Q135247
0,Q649780,Q460690
1,Q540731,Q245873
1,Q446207,Q292764
0,Q449816,Q041800
0,Q414236,Q262459
0,Q705243,Q001582
0,Q407454,Q650473
1,Q313428,Q020196
0,Q424359,Q317876
1,Q293283,Q267518
0,Q047414,Q113717
1,Q178781,Q613370
0,Q644134,Q177051
1,Q451912,Q596126
0,Q000855,Q293878
1,Q722460,Q649525
1,Q215109,Q085107
1,Q534627,Q085589
1,Q127476,Q135656
0,Q253033,Q570295
1,Q171337,Q368051
0,Q383108,Q020722
1,Q452807,Q462373
0,Q135971,Q500229
0,Q396529,Q717510
1,Q700334,Q410230
0,Q080941,Q453576
1,Q312464,Q412007
0,Q051955,Q367041
1,Q526656,Q259835
1,Q052033,Q036853
1,Q706862,Q456337
1,Q593547,Q115090
1,Q279541,Q194805
1,Q473607,Q421873
0,Q269156,Q074123
0,Q697894,Q531058
0,Q151186,Q294093
0,Q581062,Q653906
1,Q053248,Q504008
1,Q334520,Q593828
1,Q643837,Q070570
0,Q512782,Q164963
1,Q462672,Q702140
0,Q668102,Q103724
1,Q608210,Q514540
0,Q087617,Q611027
0,Q024373,Q221265
1,Q514370,Q149725
1,Q585775,Q589540
1,Q094323,Q382147
1,Q535732,Q007692
0,Q713434,Q122284
0,Q579403,Q711142
0,Q484063,Q481675
0,Q035376,Q332649
0,Q727066,Q078964
0,Q592016,Q486926
1,Q458700,Q399078
0,Q229969,Q633721
0,Q016765,Q146817
1,Q067434,Q474493
0,Q617393,Q250811
0,Q540166,Q614773
0,Q018715,Q006294
1,Q409185,Q188100
1,Q000856,Q328030
0,Q701607,Q225827
0,Q030651,Q651096
0,Q029570,Q604307
1,Q461861,Q032069
0,Q114360,Q637816
0,Q055837,Q373570
0,Q505661,Q576946
1,Q723772,Q427480
1,Q147134,Q131257
1,Q512063,Q443410
0,Q697550,Q404279
1,Q386176,Q641402
0,Q489803,Q450496
1,Q628252,Q591563
0,Q485337,Q172063
0,Q646521,Q132959
0,Q618661,Q436369
0,Q564623,Q639481
1,Q029338,Q378435
0,Q137731,Q020813
0,Q150465,Q539242
0,Q497947,Q268514
0,Q301334,Q444014
1,Q393252,Q700415
0,Q135164,Q701251
0,Q707592,Q112106
0,Q158389,Q077302
0,Q092505,Q489003
0,Q642015,Q551828
0,Q213393,Q252857
1,Q082482,Q154604
1,Q574532,Q453072
0,Q045790,Q612565
0,Q112002,Q166199
0,Q494179,Q700015
1,Q426774,Q551524
1,Q145985,Q595583
0,Q102292,Q578569
1,Q371443,Q314828
1,Q103424,Q155698
0,Q011513,Q016608
1,Q227041,Q216038
1,Q013693,Q443865
0,Q404130,Q711735
0,Q278448,Q723858
1,Q482817,Q347442
1,Q004247,Q176966
0,Q394993,Q621899
1,Q586195,Q678670
1,Q422676,Q394255
0,Q054471,Q136788
1,Q001230,Q220823
1,Q497704,Q061091
0,Q545228,Q296744
0,Q125656,Q689758
0,Q190851,Q615298
1,Q622572,Q644102
1,Q507797,Q412119
0,Q058588,Q182148
1,Q480797,Q332641
1,Q544644,Q506311
1,Q473470,Q166888
0,Q113968,Q243246
1,Q384610,Q092157
0,Q208772,Q505702
1,Q436121,Q138246
0,Q554355,Q465122
1,Q669576,Q526494
0,Q437494,Q485579
1,Q446651,Q010511
0,Q702869,Q141033
0,Q306143,Q398679
0,Q401169,Q716294
1,Q494517,Q442667
1,Q245177,Q510371
1,Q398810,Q574532
1,Q312139,Q555108
0,Q027147,Q388208
1,Q645635,Q417132
1,Q397713,Q119578
0,Q344078,Q606175
1,Q519836,Q285656
0,Q242688,Q617886
0,Q196772,Q500429
1,Q098480,Q536107
1,Q029082,Q258538
0,Q310894,Q725985
0,Q304066,Q214358
0,Q183077,Q457613
0,Q636859,Q443204
1,Q200024,Q111452
1,Q173459,Q233056
1,Q708126,Q415692
1,Q342460,Q062883
0,Q087723,Q016691
0,Q557146,Q539037
0,Q269486,Q390167
1,Q493044,Q253798
0,Q010396,Q187747
0,Q046523,Q381850
1,Q310027,Q021853
0,Q615471,Q676191
0,Q029353,Q189731
1,Q064666,Q291134
1,Q367437,Q200134
0,Q309224,Q443202
0,Q133976,Q576501
0,Q377776,Q439468
0,Q309222,Q503678
0,Q344450,Q445708
1,Q698628,Q538073
0,Q015153,Q334046
0,Q611093,Q394361
1,Q197290,Q225809
0,Q360330,Q331539
0,Q124999,Q634169
1,Q673530,Q015619
1,Q597625,Q518163
1,Q421012,Q469588
1,Q614389,Q407870
1,Q203189,Q584473
1,Q265906,Q200129
0,Q477427,Q207436
1,Q299546,Q162352
1,Q544178,Q192023
1,Q185201,Q045381
0,Q177881,Q684150
0,Q027955,Q012140
1,Q421623,Q407748
0,Q382818,Q272285
0,Q332924,Q225803
0,Q653605,Q080676
0,Q699795,Q306770
0,Q027234,Q319387
0,Q673530,Q502868
1,Q373510,Q376682
0,Q170964,Q283981
1,Q119964,Q625082
0,Q320765,Q480408
0,Q269287,Q562508
1,Q141737,Q180669
1,Q355378,Q405305
1,Q278364,Q672738
1,Q485810,Q716427
1,Q520797,Q220117
1,Q620759,Q494017
0,Q403469,Q296759
0,Q616519,Q128982
1,Q597782,Q404434
0,Q581811,Q093270
0,Q476211,Q462094
0,Q189170,Q389221
0,Q140008,Q022654
1,Q180998,Q474350
0,Q196965,Q673820
1,Q556729,Q055311
0,Q549415,Q123332
0,Q656524,Q440964
0,Q499980,Q349340
0,Q381138,Q686289
1,Q624894,Q142805
1,Q655639,Q586069
1,Q296870,Q099938
0,Q465686,Q653997
0,Q353146,Q654679
1,Q260824,Q646165
0,Q140240,Q490499
1,Q174111,Q425763
1,Q126363,Q328268
0,Q609075,Q369691
0,Q564015,Q573767
1,Q487339,Q145467
0,Q436549,Q076365
0,Q616295,Q184880
0,Q640200,Q439923
0,Q373338,Q721433
0,Q230302,Q708259
0,Q321557,Q214302
0,Q022721,Q415007
1,Q509391,Q010682
1,Q476838,Q058371
1,Q042903,Q564906
1,Q006149,Q146855
1,Q424999,Q471797
0,Q139932,Q011541
1,Q703601,Q425981
0,Q406093,Q066081
1,Q679948,Q544640
1,Q126137,Q518771
1,Q636735,Q428460
0,Q669380,Q164357
0,Q199427,Q214442
1,Q377816,Q214834
1,Q535986,Q627319
1,Q113754,Q069412
0,Q656513,Q161305
0,Q723041,Q356328
1,Q707936,Q492383
0,Q538929,Q124210
1,Q149996,Q651045
0,Q611233,Q465539
0,Q195505,Q530013
0,Q483035,Q523392
1,Q234586,Q042718
0,Q074305,Q129080
0,Q014205,Q390903
0,Q355350,Q467856
1,Q501606,Q308889
0,Q391738,Q720366
0,Q260754,Q303044
1,Q721319,Q552791
0,Q534666,Q014827
1,Q228290,Q322814
1,Q323703,Q700598
0,Q138477,Q273331
1,Q635647,Q224732
1,Q707415,Q562936
0,Q074733,Q182279
0,Q413226,Q569592
1,Q672272,Q383795
0,Q189283,Q579705
0,Q385318,Q204600
0,Q226295,Q281041
0,Q564937,Q414041
0,Q321816,Q245665
1,Q025943,Q505409
1,Q396129,Q247586
1,Q345210,Q287673
1,Q060284,Q462680
1,Q114210,Q357527
1,Q364967,Q133646
1,Q214741,Q593693
1,Q487816,Q106802
1,Q145068,Q214726
0,Q681532,Q444612
0,Q712244,Q675348
